state,account length,area code,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
MS,126,415,no,no,0,,112,43.61,199.5,90,16.96,,122,8.47,7.0,5,1.89,3.0,False
ID,82,415,no,no,0,266.9,83,45.37,229.7,74,19.52,251.7,99,11.33,11.0,6,2.97,3.0,True
TN,140,415,no,no,0,,84,21.3,167.6,121,14.25,260.6,94,11.73,8.4,4,,1.0,False
CT,100,415,no,no,0,,130,40.09,176.0,69,14.96,63.6,122,2.86,7.3,1,1.97,2.0,False
NE,105,415,no,yes,27,,96,24.0,167.7,94,14.25,274.4,101,12.35,11.4,2,,1.0,False
MS,114,415,no,yes,34,,109,26.25,221.4,142,18.82,208.5,103,9.38,10.3,5,2.78,0.0,False
MS,29,510,no,no,0,,103,53.24,216.3,151,18.39,,106,9.83,12.8,4,,2.0,True
WI,63,510,no,yes,13,,61,36.41,181.2,88,15.4,174.0,68,7.83,10.3,2,2.78,0.0,False
OR,135,415,no,no,0,,66,44.85,251.3,116,21.36,200.1,112,9.0,8.4,2,2.27,5.0,True
NJ,153,510,no,no,0,,145,20.83,273.3,103,23.23,197.8,71,8.9,8.0,3,2.16,2.0,False
WV,95,415,no,no,0,,91,29.78,244.4,109,20.77,75.8,95,3.41,7.5,2,2.03,1.0,False
LA,87,415,no,no,0,,90,38.88,163.0,99,13.86,154.1,90,6.93,11.8,3,3.19,1.0,False
CO,63,415,no,no,0,,84,36.01,230.9,137,19.63,217.1,99,9.77,10.7,9,,3.0,False
MT,80,510,yes,yes,30,,132,31.31,167.5,109,14.24,212.8,114,9.58,10.0,10,2.7,0.0,False
MT,85,408,no,yes,17,,88,15.27,233.2,75,19.82,165.7,116,7.46,9.3,7,2.51,4.0,True
CO,139,415,no,no,0,,103,23.48,164.5,100,13.98,,63,6.07,8.3,2,2.24,1.0,False
SD,93,510,no,no,0,,106,55.78,151.7,89,12.89,303.5,114,13.66,8.7,3,2.35,1.0,True
VT,100,408,yes,no,0,,112,37.3,225.7,102,19.18,,95,11.49,12.0,4,,4.0,False
FL,132,510,no,yes,36,,103,38.45,181.6,125,15.44,258.8,102,11.65,10.5,5,2.84,3.0,True
NC,162,408,no,yes,26,,144,30.55,218.1,129,18.54,212.3,105,9.55,9.3,8,2.51,1.0,True
MI,134,415,no,yes,41,,82,27.54,324.7,77,27.6,,112,7.2,11.9,5,3.21,0.0,False
VT,152,415,no,no,0,,126,33.51,130.1,76,11.06,,100,3.51,7.4,4,,3.0,False
NY,60,510,no,yes,31,,75,32.61,267.8,135,22.76,200.5,62,9.02,12.8,3,3.46,2.0,False
NC,85,510,no,no,0,,111,31.18,168.8,98,14.35,199.7,97,8.99,9.9,4,2.67,4.0,False
CT,48,415,no,no,0,171.9,98,29.22,159.0,127,13.52,,101,6.28,7.6,3,2.05,2.0,False
OH,109,415,no,no,0,,58,32.91,148.7,115,12.64,,105,12.71,13.1,1,3.54,2.0,False
NV,41,510,no,no,0,,89,30.96,211.5,104,17.98,,124,9.33,6.8,1,,1.0,False
NM,65,415,no,no,0,,95,17.97,141.8,100,12.05,,105,8.12,6.6,12,1.78,2.0,False
DE,80,415,no,no,0,199.8,138,33.97,167.1,91,14.2,271.8,94,12.23,5.5,4,1.49,1.0,False
ND,149,408,no,no,0,,80,29.82,197.4,127,16.78,,102,8.47,9.7,2,2.62,2.0,False
AZ,43,415,no,no,0,,97,30.48,252.7,126,21.48,227.5,114,10.24,8.0,5,2.16,0.0,False
PA,77,510,no,yes,24,,74,25.4,123.9,72,10.53,174.3,84,7.84,10.1,6,2.73,1.0,False
IA,46,510,no,no,0,,111,33.86,175.1,83,14.88,210.6,84,9.48,10.2,2,2.75,3.0,False
CA,120,510,no,no,0,,94,22.92,204.1,106,17.35,238.4,109,10.73,6.7,8,1.81,1.0,False
DE,122,510,no,no,0,,134,26.71,184.9,122,15.72,,59,8.87,8.5,5,2.3,4.0,True
GA,160,415,no,yes,29,,121,27.98,262.8,108,22.34,123.8,131,5.57,15.2,4,4.1,1.0,False
AZ,157,415,no,no,0,,105,37.52,119.3,127,10.14,,113,7.43,11.5,7,3.11,4.0,False
LA,118,408,no,no,0,,97,31.86,177.8,89,15.11,,97,10.5,12.2,6,,1.0,False
CA,33,408,no,no,0,,115,27.12,195.4,118,16.61,102.4,86,4.61,7.1,7,,1.0,False
WV,114,510,no,yes,30,,79,35.05,260.0,91,22.1,291.6,83,13.12,11.4,6,3.08,1.0,False
ID,119,415,no,no,0,,114,27.05,231.3,117,19.66,,91,6.44,8.8,3,2.38,5.0,True
NM,55,510,no,no,0,,100,48.74,134.4,121,11.42,192.9,122,8.68,6.9,5,1.86,2.0,False
MO,131,408,no,no,0,,95,18.62,332.1,48,28.23,258.6,108,11.64,6.6,7,1.78,1.0,False
ME,36,510,yes,yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0.0,True
LA,124,510,no,no,0,,120,24.36,230.7,111,19.61,214.3,91,9.64,7.8,2,2.11,4.0,True
ME,59,510,no,no,0,,95,28.27,239.3,87,20.34,123.2,108,5.54,10.0,3,2.7,2.0,False
IL,149,408,no,no,0,,117,11.75,136.3,100,11.59,181.7,53,8.18,6.3,3,1.7,1.0,False
WI,102,408,no,no,0,,106,34.1,152.5,127,12.96,,128,8.97,7.7,2,2.08,3.0,False
NY,181,408,no,no,0,,91,24.36,195.5,58,16.62,223.3,95,10.05,6.0,7,1.62,1.0,False
CA,111,408,no,no,0,,109,42.47,242.4,106,20.6,231.8,78,10.43,11.6,4,3.13,0.0,True
RI,112,415,no,no,0,,102,28.66,298.0,117,25.33,,110,8.76,9.8,5,,1.0,False
MO,61,408,no,no,0,45.0,108,7.65,151.3,74,12.86,152.9,94,6.88,9.8,6,2.65,2.0,False
CT,50,408,no,no,0,,82,51.29,167.1,118,14.2,,89,3.25,10.5,6,2.84,1.0,False
MO,152,408,no,no,0,,122,17.2,141.6,87,12.04,198.5,124,8.93,7.5,3,2.03,2.0,False
ID,85,408,no,yes,27,,139,33.39,280.9,90,23.88,,75,4.02,13.8,4,3.73,1.0,False
KY,95,510,no,no,0,,116,26.74,197.5,77,16.79,128.2,111,5.77,8.4,4,2.27,2.0,False
OK,63,415,no,no,0,,78,21.88,240.8,133,20.47,,121,10.7,12.8,6,3.46,1.0,False
OK,15,415,no,no,0,,130,20.59,216.0,86,18.36,235.1,33,10.58,16.1,5,4.35,2.0,False
NE,21,510,no,no,0,,110,38.25,244.2,111,20.76,221.2,93,9.95,10.7,4,2.89,0.0,False
IN,96,415,no,yes,23,,88,31.13,147.4,89,12.53,350.2,108,15.76,11.3,7,3.05,1.0,False
MS,65,415,yes,no,0,277.9,123,47.24,155.8,112,13.24,256.9,71,11.56,9.2,10,2.48,0.0,True
FL,79,510,no,no,0,,119,22.13,290.9,121,24.73,194.8,140,8.77,14.0,6,3.78,3.0,False
KS,99,415,no,no,0,191.2,110,32.5,163.9,102,13.93,243.6,114,10.96,14.1,3,3.81,1.0,False
MT,147,415,no,yes,35,,134,33.54,141.1,99,11.99,212.1,90,9.54,10.1,4,2.73,2.0,True
PA,114,415,no,no,0,,75,26.4,169.9,87,14.44,207.0,133,9.32,12.6,5,3.4,2.0,False
ID,31,415,no,no,0,,129,30.14,152.8,105,12.99,162.9,92,7.33,5.1,2,1.38,0.0,False
CO,85,510,no,yes,21,,110,48.14,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5.0,False
PA,53,415,no,no,0,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,10.7,2,2.89,3.0,False
NY,99,415,no,no,0,,83,31.04,154.5,111,13.13,196.0,57,8.82,12.1,5,3.27,0.0,False
OR,80,415,no,no,0,,86,19.24,185.5,97,15.77,,145,10.68,9.5,5,2.57,1.0,False
UT,105,415,no,no,0,,71,18.09,240.1,83,20.41,147.7,114,6.65,5.3,4,1.43,6.0,True
WA,76,510,yes,no,0,,110,41.96,206.3,63,17.54,208.4,123,9.38,13.2,5,,0.0,True
FL,161,415,yes,no,0,,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,9,3.0,2.0,False
WV,143,510,no,no,0,,109,34.48,165.8,104,14.09,143.9,71,6.48,4.6,4,,1.0,False
MO,107,415,no,no,0,,94,24.97,114.3,111,9.72,114.5,97,5.15,11.4,5,,3.0,False
KS,52,415,no,no,0,,78,28.14,205.5,89,17.47,213.6,124,9.61,12.2,6,3.29,0.0,False
OR,138,415,yes,yes,28,211.2,117,35.9,312.5,98,26.56,,118,8.01,10.7,2,2.89,3.0,True
WY,64,415,no,no,0,,76,35.05,232.4,76,19.75,251.6,96,11.32,13.6,2,3.67,1.0,False
WA,100,408,no,no,0,,94,12.04,215.6,102,18.33,,125,10.39,9.5,1,2.57,6.0,True
NV,138,510,no,no,0,,117,29.14,115.2,128,9.79,224.5,115,10.1,17.0,4,4.59,3.0,False
NJ,60,408,no,no,0,,101,49.27,255.6,115,21.73,242.8,76,10.93,11.7,4,,2.0,True
AK,132,510,no,no,0,,121,30.79,314.4,109,26.72,,81,11.1,4.2,9,1.13,2.0,False
MO,86,415,no,no,0,,139,21.34,269.8,93,22.93,235.8,110,10.61,8.9,8,2.4,1.0,False
NV,124,408,no,no,0,,123,25.69,187.4,104,15.93,255.4,93,11.49,5.3,3,1.43,1.0,False
VA,145,408,no,no,0,,124,33.86,126.0,86,10.71,289.2,135,13.01,7.6,3,,1.0,False
AL,91,510,no,yes,23,,97,39.51,186.0,88,15.81,190.5,128,8.57,12.3,3,3.32,3.0,False
ID,92,415,no,yes,31,,116,29.29,266.2,91,22.63,228.2,90,10.27,11.8,5,3.19,1.0,False
MI,120,415,no,no,0,,85,25.6,119.0,128,10.12,232.9,123,10.48,6.4,2,1.73,1.0,False
OR,72,510,no,no,0,,133,24.02,134.9,96,11.47,,97,10.24,11.2,3,3.02,2.0,False
SD,148,408,no,no,0,,87,31.48,170.4,96,14.48,165.1,104,7.43,9.5,13,,1.0,False
WY,43,415,yes,no,0,,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0.0,False
OR,67,415,yes,no,0,,58,20.55,235.0,88,19.98,95.1,130,4.28,11.4,11,3.08,2.0,False
NC,125,408,no,no,0,,89,36.09,215.4,127,18.31,186.8,73,8.41,11.3,2,3.05,2.0,False
WV,121,510,no,no,0,,142,30.12,123.5,88,10.5,213.2,51,9.59,8.4,6,2.27,1.0,False
OH,93,415,no,yes,42,,90,25.89,267.5,102,22.74,266.9,130,12.01,11.3,5,3.05,7.0,False
OH,39,415,no,yes,36,,121,24.09,232.3,113,19.75,222.1,131,9.99,12.0,5,3.24,1.0,False
NM,148,408,no,no,0,,148,26.11,262.1,87,22.28,225.5,99,10.15,9.8,3,2.65,2.0,False
KS,119,415,no,no,0,,82,39.36,266.9,97,22.69,211.0,118,9.49,7.4,10,2.0,1.0,False
AZ,75,510,no,yes,37,,97,20.66,271.4,110,23.07,,97,11.19,11.3,5,3.05,2.0,False
MN,55,415,no,no,0,,147,29.85,161.8,118,13.75,289.5,55,13.03,9.3,4,2.51,0.0,False
SC,78,415,no,no,0,,105,18.62,286.1,90,24.32,247.6,113,11.14,4.9,9,1.32,1.0,False
GA,70,415,no,yes,24,,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1.0,False
WV,94,510,yes,yes,23,,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4.0,False
NH,64,408,no,yes,27,,91,30.96,169.7,98,14.42,164.7,86,7.41,10.6,5,2.86,2.0,False
MO,36,415,no,no,0,,115,34.41,230.7,115,19.61,202.0,127,9.09,10.2,2,,3.0,False
NE,67,415,no,yes,41,174.7,86,29.7,160.6,93,13.65,,108,6.99,13.4,1,,0.0,False
OR,166,510,no,no,0,,93,33.93,214.3,99,18.22,196.8,110,8.86,7.2,5,1.94,3.0,False
MS,84,510,no,no,0,,96,12.8,179.9,113,15.29,,134,8.72,12.3,1,3.32,1.0,False
CT,64,415,yes,no,0,,134,38.3,108.2,87,9.2,139.6,132,6.28,17.3,9,4.67,1.0,True
WA,51,408,no,no,0,232.4,109,39.51,187.4,95,15.93,,107,10.4,9.1,3,2.46,1.0,False
AZ,99,415,no,no,0,,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4.0,False
MT,163,510,no,yes,23,,104,27.2,189.4,64,16.1,,118,10.35,10.4,7,2.81,1.0,False
ME,102,510,no,no,0,,116,33.27,209.1,87,17.77,201.1,73,9.05,8.3,3,2.24,1.0,True
MS,107,510,no,yes,30,,87,33.81,207.0,90,17.6,159.8,76,7.19,12.6,4,3.4,3.0,False
MD,189,415,no,yes,30,,116,26.38,195.5,50,16.62,170.1,108,7.65,15.4,6,4.16,1.0,False
KY,89,408,no,no,0,,83,32.66,163.6,88,13.91,169.7,138,7.64,6.1,3,1.65,0.0,False
CO,86,408,no,no,0,,106,29.21,301.7,44,25.64,139.4,108,6.27,9.7,5,2.62,1.0,False
ID,56,510,no,no,0,150.9,79,25.65,161.8,87,13.75,,115,7.55,11.7,5,3.16,3.0,False
WI,73,415,no,no,0,,90,36.41,196.8,78,16.73,157.9,112,7.11,5.9,8,1.59,0.0,False
CO,137,415,no,no,0,,107,21.59,323.2,75,27.47,,127,6.48,7.5,2,2.03,1.0,False
AZ,12,408,no,no,0,,118,42.43,252.4,119,21.45,,90,12.61,11.8,3,3.19,1.0,True
AR,99,510,yes,no,0,,102,41.19,350.9,102,29.83,163.1,93,7.34,11.3,3,3.05,0.0,True
VA,10,408,no,no,0,,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,,2.0,False
VT,162,510,no,no,0,,117,37.5,155.2,121,13.19,186.7,89,8.4,10.5,11,2.84,1.0,False
WV,117,510,yes,no,0,,121,33.73,249.5,104,21.21,162.8,115,7.33,10.5,5,2.84,1.0,False
WI,111,415,no,yes,36,,54,28.25,238.8,109,20.3,108.8,92,4.9,11.2,2,,3.0,False
SD,34,408,no,no,0,,65,30.7,280.4,99,23.83,292.4,105,13.16,5.0,3,1.35,1.0,False
VA,153,510,no,no,0,,107,33.22,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1.0,False
MI,55,415,no,yes,20,,91,35.31,199.7,113,16.97,216.5,110,9.74,7.3,1,1.97,1.0,False
MN,125,415,no,no,0,240.7,82,40.92,269.4,85,22.9,187.1,74,8.42,10.1,3,2.73,0.0,True
UT,121,415,no,yes,41,,95,36.64,241.8,92,20.55,147.0,108,6.61,9.6,3,2.59,1.0,False
MO,86,415,no,no,0,,96,14.2,221.1,63,18.79,349.7,75,15.74,12.6,3,3.4,0.0,False
VT,195,415,no,yes,36,,110,39.39,225.1,88,19.13,201.7,89,9.08,12.1,2,3.27,0.0,False
AZ,94,408,no,yes,38,,124,28.92,193.3,116,16.43,,73,4.77,12.8,4,3.46,1.0,False
TX,70,415,no,no,0,,95,39.58,303.4,111,25.79,,104,11.5,12.9,7,3.48,0.0,True
IL,107,415,no,yes,14,,132,19.43,199.8,91,16.98,194.7,74,8.76,7.5,8,2.03,1.0,False
OH,123,408,no,yes,39,,99,45.97,245.1,110,20.83,,113,4.9,15.4,7,4.16,1.0,False
HI,118,415,no,no,0,,113,22.68,121.0,92,10.29,254.7,129,11.46,5.9,4,1.59,1.0,False
MD,111,510,no,no,0,,88,20.93,213.9,84,18.18,184.9,88,8.32,12.0,2,3.24,5.0,True
WI,184,408,no,yes,12,,76,34.05,253.6,105,21.56,,93,6.72,10.2,5,2.75,0.0,False
MD,119,408,no,no,0,239.1,88,40.65,243.5,79,20.7,230.9,92,10.39,10.9,3,2.94,3.0,True
AL,119,415,no,no,0,,97,16.8,146.9,68,12.49,190.7,105,8.58,10.0,4,2.7,3.0,False
OK,52,415,no,no,0,,131,21.23,300.5,118,25.54,192.5,106,8.66,11.6,4,3.13,2.0,False
NC,103,510,no,no,0,,84,28.32,192.4,91,16.35,,115,7.56,7.7,6,2.08,1.0,False
WY,107,510,no,yes,31,,45,27.25,221.5,70,18.83,,109,11.77,5.6,1,1.51,1.0,False
MT,160,415,no,no,0,,113,16.58,268.1,69,22.79,255.3,62,11.49,13.2,4,3.56,3.0,False
WA,13,510,no,yes,25,,65,30.02,172.7,96,14.68,104.5,128,4.7,11.3,5,3.05,2.0,False
WV,161,415,no,no,0,,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,4.0,True
MT,111,408,no,no,0,,75,24.19,122.8,106,10.44,229.5,94,10.33,12.8,9,3.46,2.0,False
TN,108,408,no,yes,15,,85,28.07,267.0,93,22.7,,114,11.28,10.9,4,,1.0,False
ID,74,415,no,no,0,,124,37.59,110.8,94,9.42,240.1,112,10.8,10.6,3,,0.0,False
ND,180,415,no,no,0,,105,38.23,250.0,101,21.25,216.1,73,9.72,6.7,5,1.81,3.0,True
IN,94,408,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4.0,True
SD,78,415,no,yes,25,,73,33.56,295.7,113,25.13,211.7,73,9.53,13.2,2,3.56,0.0,False
OH,160,415,no,no,0,,66,35.07,241.1,109,20.49,227.8,102,10.25,11.7,6,3.16,0.0,False
WI,107,408,no,no,0,,104,22.78,174.5,94,14.83,311.1,79,14.0,7.3,3,1.97,3.0,False
VA,43,408,no,yes,35,,105,34.03,244.4,88,20.77,207.2,97,9.32,11.6,4,,3.0,False
WV,63,510,no,no,0,,122,22.59,67.0,62,5.7,,121,7.22,9.9,2,2.67,3.0,False
NV,130,510,no,no,0,,119,26.21,110.2,98,9.37,,117,10.23,9.2,5,2.48,2.0,False
LA,128,415,no,no,0,,105,25.25,243.0,106,20.66,255.2,114,11.48,6.8,2,1.84,1.0,False
NY,21,415,no,no,0,,81,41.6,168.0,117,14.28,,87,12.67,6.6,1,1.78,1.0,False
IN,148,415,no,yes,26,,91,26.98,160.5,127,13.64,218.3,88,9.82,9.9,3,2.67,1.0,False
NM,174,415,no,no,0,,72,40.66,188.5,124,16.02,,116,4.75,8.8,3,2.38,1.0,False
TX,98,415,no,no,0,,121,36.92,303.4,73,25.79,197.1,71,8.87,12.4,2,3.35,0.0,True
AR,87,408,no,no,0,,119,31.59,192.3,83,16.35,200.0,96,9.0,6.6,4,1.78,1.0,False
HI,118,415,no,no,0,253.2,122,43.04,201.0,78,17.09,195.3,108,8.79,9.7,7,,2.0,False
MO,58,415,no,no,0,,145,25.4,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02,1.0,False
SC,78,415,no,yes,21,,85,27.3,223.1,79,18.96,124.0,92,5.58,9.5,1,,2.0,False
TN,78,415,no,no,0,,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0.0,False
MA,102,415,no,yes,31,,92,21.3,141.2,108,12.0,,68,7.57,6.3,2,1.7,3.0,False
MI,132,408,no,no,0,,104,49.5,234.2,132,19.91,191.7,87,8.63,8.9,3,2.4,1.0,True
IN,130,408,no,no,0,,129,19.65,167.8,104,14.26,,124,6.38,12.6,9,3.4,1.0,False
MS,120,408,no,no,0,,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1.0,True
MI,139,415,no,yes,20,,101,36.48,235.1,132,19.98,162.8,132,7.33,14.8,12,4.0,0.0,False
TX,92,408,no,no,0,,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2.0,False
OR,110,408,no,no,0,,112,25.47,180.0,93,15.3,140.0,119,6.3,11.7,4,3.16,2.0,False
WI,80,415,no,no,0,,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1.0,False
NY,139,510,no,no,0,,109,40.22,169.9,107,14.44,212.3,118,9.55,11.1,2,3.0,1.0,True
FL,130,415,no,no,0,,113,27.68,290.3,111,24.68,,140,5.17,7.2,3,1.94,1.0,False
LA,117,408,no,no,0,,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1.0,False
SD,95,408,no,yes,20,,78,28.17,215.6,94,18.33,243.3,91,10.95,9.8,6,2.65,0.0,False
NH,78,408,no,no,0,,116,27.59,192.4,86,16.35,240.6,100,10.83,10.1,3,2.73,2.0,False
CT,74,510,no,no,0,,77,34.65,205.1,111,17.43,154.9,109,6.97,9.0,2,2.43,1.0,False
FL,100,510,no,no,0,,63,18.19,105.7,67,8.98,243.1,74,10.94,12.8,3,3.46,4.0,True
OK,101,408,no,no,0,,107,35.63,228.8,96,19.45,172.4,85,7.76,7.6,2,,3.0,False
NH,88,415,no,no,0,,86,34.37,216.8,93,18.43,239.4,99,10.77,11.8,2,3.19,2.0,False
PA,82,408,no,no,0,125.7,96,21.37,207.6,137,17.65,183.1,103,8.24,12.9,2,3.48,1.0,False
MD,29,510,no,no,0,,71,33.25,126.4,74,10.74,,87,6.69,14.2,4,,1.0,False
ND,84,408,no,yes,38,,106,32.81,153.6,106,13.06,260.4,87,11.72,7.4,5,2.0,2.0,False
SD,88,408,no,no,0,142.2,107,24.17,262.4,84,22.3,,99,6.26,10.1,5,2.73,1.0,False
DE,131,408,no,no,0,,80,16.05,215.1,101,18.28,179.7,108,8.09,13.1,9,3.54,2.0,False
AK,50,408,no,no,0,,107,31.21,58.6,118,4.98,202.6,99,9.12,8.7,3,2.35,1.0,False
MT,132,408,no,no,0,,100,33.17,148.8,95,12.65,,117,10.1,6.7,2,1.81,0.0,False
KS,79,415,no,no,0,,83,30.24,167.3,84,14.22,223.7,142,10.07,15.2,8,4.1,0.0,False
MD,163,408,no,no,0,,120,37.91,227.0,98,19.3,188.3,125,8.47,8.8,5,2.38,1.0,False
OH,135,415,no,no,0,,107,29.48,222.0,84,18.87,,94,2.89,13.7,6,3.7,1.0,False
VT,95,510,no,no,0,,96,34.58,168.6,61,14.33,173.0,105,7.79,13.7,3,3.7,2.0,False
OK,35,415,no,no,0,,59,30.46,283.3,101,24.08,,83,12.84,5.8,7,1.57,2.0,False
OH,107,415,no,yes,26,,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1.0,False
ID,99,415,no,no,0,,106,24.75,98.3,106,8.36,230.8,83,10.39,10.9,5,,1.0,False
AL,98,408,no,no,0,,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4.0,False
NJ,78,415,no,no,0,,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1.0,False
RI,83,415,no,yes,20,95.0,89,16.15,167.9,92,14.27,200.6,79,9.03,11.2,2,3.02,0.0,False
HI,97,415,no,yes,43,,105,20.59,260.2,115,22.12,,100,10.01,8.3,5,2.24,3.0,False
PA,87,408,no,yes,30,,114,44.68,215.8,130,18.34,154.8,88,6.97,7.8,2,,0.0,False
VT,121,415,yes,yes,44,,127,43.2,180.2,108,15.32,196.2,129,8.83,8.7,4,,3.0,False
NJ,59,510,no,no,0,,58,33.15,198.5,88,16.87,304.3,110,13.69,14.8,9,4.0,0.0,False
MI,128,415,no,no,0,,94,30.5,270.4,92,22.98,191.0,88,8.59,7.9,4,2.13,0.0,False
AR,95,415,no,no,0,,79,11.8,190.8,109,16.22,,102,9.9,8.9,5,2.4,0.0,False
GA,132,415,no,no,0,,132,30.04,244.1,80,20.75,176.3,120,7.93,9.1,4,2.46,2.0,False
AR,80,415,no,no,0,,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1.0,False
TN,17,510,no,yes,31,,115,26.03,185.9,59,15.8,224.3,102,10.09,10.0,1,,6.0,True
AZ,122,510,no,yes,22,,92,34.77,139.6,121,11.87,,103,9.23,8.6,5,2.32,2.0,False
MI,78,510,no,no,0,,109,23.36,237.6,49,20.2,206.7,136,9.3,14.0,11,3.78,3.0,False
SD,87,415,no,yes,21,,113,36.38,180.0,114,15.3,134.5,82,6.05,10.6,5,2.86,0.0,False
MN,62,510,no,yes,33,,84,31.69,201.0,136,17.09,,103,12.9,11.1,3,,2.0,True
WY,104,415,no,no,0,,100,23.58,215.4,58,18.31,164.3,98,7.39,4.9,4,1.32,2.0,False
IL,151,415,yes,no,0,198.7,70,33.78,209.5,106,17.81,,126,12.69,12.4,4,,0.0,False
MI,87,415,no,no,0,,80,33.71,187.0,89,15.9,133.5,96,6.01,16.6,4,4.48,2.0,False
NE,117,415,no,no,0,,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,,1.0,False
LA,40,510,no,no,0,,107,18.6,244.7,102,20.8,276.9,123,12.46,7.1,7,1.92,0.0,False
SD,65,408,no,yes,31,,70,47.99,152.0,89,12.92,,93,10.15,12.0,4,3.24,1.0,False
VT,72,415,no,yes,21,138.1,113,23.48,260.1,83,22.11,135.4,118,6.09,8.2,2,2.21,2.0,False
IA,42,415,no,no,0,155.4,127,26.42,164.1,45,13.95,157.7,128,7.1,9.0,3,2.43,0.0,False
SC,22,408,no,no,0,,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0.0,False
NM,84,408,no,yes,41,,102,26.16,140.7,117,11.96,217.7,101,9.8,12.8,5,3.46,1.0,False
