account length,number vmail messages,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,area code,state_East NC,state_East SC,state_Mid Atlantic,state_Mountain,state_New England,state_Others,state_Pacific,state_South Atlantic,state_West NC,state_West SC,international plan_no,international plan_yes,voice mail plan_no,voice mail plan_yes
117.0,31.0,115.0,17.83,237.6,125.0,20.2,263.4,104.0,11.85,7.7,6.0,2.08,3.0,415,0,0,0,0,0,0,0,0,0,1,1,0,0,1
74.0,0.0,83.0,14.57,247.7,67.0,21.05,142.4,85.0,6.41,10.1,5.0,2.73,2.0,415,0,0,0,0,0,1,0,0,0,0,1,0,1,0
126.0,0.0,112.0,43.61,199.5,90.0,16.96,200.87398513436247,122.0,8.47,7.0,5.0,1.89,3.0,415,0,1,0,0,0,0,0,0,0,0,1,0,1,0
82.0,0.0,83.0,45.37,229.7,74.0,19.52,251.7,99.0,11.33,11.0,6.0,2.97,3.0,415,0,0,0,1,0,0,0,0,0,0,1,0,1,0
140.0,0.0,84.0,21.3,167.6,121.0,14.25,260.6,94.0,11.73,8.4,4.0,2.7719679849340864,1.0,415,0,1,0,0,0,0,0,0,0,0,1,0,1,0
114.0,34.0,109.0,26.25,221.4,142.0,18.82,208.5,103.0,9.38,10.3,5.0,2.78,0.0,415,0,1,0,0,0,0,0,0,0,0,1,0,0,1
29.0,0.0,103.0,53.24,216.3,151.0,18.39,200.87398513436247,106.0,9.83,12.8,4.0,2.7719679849340864,2.0,510,0,1,0,0,0,0,0,0,0,0,1,0,1,0
63.0,13.0,61.0,36.41,181.2,88.0,15.4,174.0,68.0,7.83,10.3,2.0,2.78,0.0,510,1,0,0,0,0,0,0,0,0,0,1,0,0,1
153.0,0.0,145.0,20.83,273.3,103.0,23.23,197.8,71.0,8.9,8.0,3.0,2.16,2.0,510,0,0,1,0,0,0,0,0,0,0,1,0,1,0
87.0,0.0,90.0,38.88,163.0,99.0,13.86,154.1,90.0,6.93,11.8,3.0,3.19,1.0,415,0,0,0,0,0,0,0,0,0,1,1,0,1,0
63.0,0.0,84.0,36.01,230.9,137.0,19.63,217.1,99.0,9.77,10.7,9.0,2.7719679849340864,3.0,415,0,0,0,1,0,0,0,0,0,0,1,0,1,0
80.0,30.0,132.0,31.31,167.5,109.0,14.24,212.8,114.0,9.58,10.0,10.0,2.7,0.0,510,0,0,0,1,0,0,0,0,0,0,0,1,0,1
139.0,0.0,103.0,23.48,164.5,100.0,13.98,200.87398513436247,63.0,6.07,8.3,2.0,2.24,1.0,415,0,0,0,1,0,0,0,0,0,0,1,0,1,0
132.0,36.0,103.0,38.45,181.6,125.0,15.44,258.8,102.0,11.65,10.5,5.0,2.84,3.0,510,0,0,0,0,0,0,0,1,0,0,1,0,0,1
162.0,26.0,144.0,30.55,218.1,129.0,18.54,212.3,105.0,9.55,9.3,8.0,2.51,1.0,408,0,0,0,0,0,0,0,1,0,0,1,0,0,1
134.0,41.0,82.0,27.54,324.7,77.0,27.6,200.87398513436247,112.0,7.2,11.9,5.0,3.21,0.0,415,1,0,0,0,0,0,0,0,0,0,1,0,0,1
60.0,31.0,75.0,32.61,267.8,135.0,22.76,200.5,62.0,9.02,12.8,3.0,3.46,2.0,510,0,0,1,0,0,0,0,0,0,0,1,0,0,1
48.0,0.0,98.0,29.22,159.0,127.0,13.52,200.87398513436247,101.0,6.28,7.6,3.0,2.05,2.0,415,0,0,0,0,1,0,0,0,0,0,1,0,1,0
109.0,0.0,58.0,32.91,148.7,115.0,12.64,200.87398513436247,105.0,12.71,13.1,1.0,3.54,2.0,415,1,0,0,0,0,0,0,0,0,0,1,0,1,0
41.0,0.0,89.0,30.96,211.5,104.0,17.98,200.87398513436247,124.0,9.33,6.8,1.0,2.7719679849340864,1.0,510,0,0,0,1,0,0,0,0,0,0,1,0,1,0
80.0,0.0,138.0,33.97,167.1,91.0,14.2,271.8,94.0,12.23,5.5,4.0,1.49,1.0,415,0,0,0,0,0,0,0,1,0,0,1,0,1,0
149.0,0.0,80.0,29.82,197.4,127.0,16.78,200.87398513436247,102.0,8.47,9.7,2.0,2.62,2.0,408,0,0,0,0,0,0,0,0,1,0,1,0,1,0
43.0,0.0,97.0,30.48,252.7,126.0,21.48,227.5,114.0,10.24,8.0,5.0,2.16,0.0,415,0,0,0,1,0,0,0,0,0,0,1,0,1,0
77.0,24.0,74.0,25.4,123.9,72.0,10.53,174.3,84.0,7.84,10.1,6.0,2.73,1.0,510,0,0,1,0,0,0,0,0,0,0,1,0,0,1
46.0,0.0,111.0,33.86,175.1,83.0,14.88,210.6,84.0,9.48,10.2,2.0,2.75,3.0,510,0,0,0,0,0,0,0,0,1,0,1,0,1,0
120.0,0.0,94.0,22.92,204.1,106.0,17.35,238.4,109.0,10.73,6.7,8.0,1.81,1.0,510,0,0,0,0,0,0,1,0,0,0,1,0,1,0
118.0,0.0,97.0,31.86,177.8,89.0,15.11,200.87398513436247,97.0,10.5,12.2,6.0,2.7719679849340864,1.0,408,0,0,0,0,0,0,0,0,0,1,1,0,1,0
55.0,0.0,100.0,48.74,134.4,121.0,11.42,192.9,122.0,8.68,6.9,5.0,1.86,2.0,510,0,0,0,1,0,0,0,0,0,0,1,0,1,0
131.0,0.0,95.0,18.62,332.1,48.0,28.23,258.6,108.0,11.64,6.6,7.0,1.78,1.0,408,0,0,0,0,0,0,0,0,1,0,1,0,1,0
149.0,0.0,117.0,11.75,136.3,100.0,11.59,181.7,53.0,8.18,6.3,3.0,1.7,1.0,408,1,0,0,0,0,0,0,0,0,0,1,0,1,0
102.0,0.0,106.0,34.1,152.5,127.0,12.96,200.87398513436247,128.0,8.97,7.7,2.0,2.08,3.0,408,1,0,0,0,0,0,0,0,0,0,1,0,1,0
181.0,0.0,91.0,24.36,195.5,58.0,16.62,223.3,95.0,10.05,6.0,7.0,1.62,1.0,408,0,0,1,0,0,0,0,0,0,0,1,0,1,0
111.0,0.0,109.0,42.47,242.4,106.0,20.6,231.8,78.0,10.43,11.6,4.0,3.13,0.0,408,0,0,0,0,0,0,1,0,0,0,1,0,1,0
112.0,0.0,102.0,28.66,298.0,117.0,25.33,200.87398513436247,110.0,8.76,9.8,5.0,2.7719679849340864,1.0,415,0,0,0,0,1,0,0,0,0,0,1,0,1,0
61.0,0.0,108.0,7.65,151.3,74.0,12.86,152.9,94.0,6.88,9.8,6.0,2.65,2.0,408,0,0,0,0,0,0,0,0,1,0,1,0,1,0
152.0,0.0,122.0,17.2,141.6,87.0,12.04,198.5,124.0,8.93,7.5,3.0,2.03,2.0,408,0,0,0,0,0,0,0,0,1,0,1,0,1,0
85.0,27.0,139.0,33.39,280.9,90.0,23.88,200.87398513436247,75.0,4.02,13.8,4.0,3.73,1.0,408,0,0,0,1,0,0,0,0,0,0,1,0,0,1
95.0,0.0,116.0,26.74,197.5,77.0,16.79,128.2,111.0,5.77,8.4,4.0,2.27,2.0,510,0,1,0,0,0,0,0,0,0,0,1,0,1,0
63.0,0.0,78.0,21.88,240.8,133.0,20.47,200.87398513436247,121.0,10.7,12.8,6.0,3.46,1.0,415,0,0,0,0,0,0,0,0,0,1,1,0,1,0
21.0,0.0,110.0,38.25,244.2,111.0,20.76,221.2,93.0,9.95,10.7,4.0,2.89,0.0,510,0,0,0,0,0,0,0,0,1,0,1,0,1,0
65.0,0.0,123.0,47.24,155.8,112.0,13.24,256.9,71.0,11.56,9.2,10.0,2.48,0.0,415,0,1,0,0,0,0,0,0,0,0,0,1,1,0
79.0,0.0,119.0,22.13,290.9,121.0,24.73,194.8,140.0,8.77,14.0,6.0,3.78,3.0,510,0,0,0,0,0,0,0,1,0,0,1,0,1,0
99.0,0.0,110.0,32.5,163.9,102.0,13.93,243.6,114.0,10.96,14.1,3.0,3.81,1.0,415,0,0,0,0,0,0,0,0,1,0,1,0,1,0
147.0,35.0,134.0,33.54,141.1,99.0,11.99,212.1,90.0,9.54,10.1,4.0,2.73,2.0,415,0,0,0,1,0,0,0,0,0,0,1,0,0,1
114.0,0.0,75.0,26.4,169.9,87.0,14.44,207.0,133.0,9.32,12.6,5.0,3.4,2.0,415,0,0,1,0,0,0,0,0,0,0,1,0,1,0
31.0,0.0,129.0,30.14,152.8,105.0,12.99,162.9,92.0,7.33,5.1,2.0,1.38,0.0,415,0,0,0,1,0,0,0,0,0,0,1,0,1,0
53.0,0.0,86.0,34.87,160.5,95.0,13.64,149.5,142.0,6.73,10.7,2.0,2.89,3.0,415,0,0,1,0,0,0,0,0,0,0,1,0,1,0
99.0,0.0,83.0,31.04,154.5,111.0,13.13,196.0,57.0,8.82,12.1,5.0,3.27,0.0,415,0,0,1,0,0,0,0,0,0,0,1,0,1,0
80.0,0.0,86.0,19.24,185.5,97.0,15.77,200.87398513436247,145.0,10.68,9.5,5.0,2.57,1.0,415,0,0,0,0,0,0,1,0,0,0,1,0,1,0
76.0,0.0,110.0,41.96,206.3,63.0,17.54,208.4,123.0,9.38,13.2,5.0,2.7719679849340864,0.0,510,0,0,0,0,0,0,1,0,0,0,0,1,1,0
161.0,0.0,114.0,26.54,180.3,63.0,15.33,179.6,115.0,8.08,11.1,9.0,3.0,2.0,415,0,0,0,0,0,0,0,1,0,0,0,1,1,0
143.0,0.0,109.0,34.48,165.8,104.0,14.09,143.9,71.0,6.48,4.6,4.0,2.7719679849340864,1.0,510,0,0,0,0,0,0,0,1,0,0,1,0,1,0
52.0,0.0,78.0,28.14,205.5,89.0,17.47,213.6,124.0,9.61,12.2,6.0,3.29,0.0,415,0,0,0,0,0,0,0,0,1,0,1,0,1,0
138.0,28.0,117.0,35.9,312.5,98.0,26.56,200.87398513436247,118.0,8.01,10.7,2.0,2.89,3.0,415,0,0,0,0,0,0,1,0,0,0,0,1,0,1
64.0,0.0,76.0,35.05,232.4,76.0,19.75,251.6,96.0,11.32,13.6,2.0,3.67,1.0,415,0,0,0,1,0,0,0,0,0,0,1,0,1,0
60.0,0.0,101.0,49.27,255.6,115.0,21.73,242.8,76.0,10.93,11.7,4.0,2.7719679849340864,2.0,408,0,0,1,0,0,0,0,0,0,0,1,0,1,0
86.0,0.0,139.0,21.34,269.8,93.0,22.93,235.8,110.0,10.61,8.9,8.0,2.4,1.0,415,0,0,0,0,0,0,0,0,1,0,1,0,1,0
124.0,0.0,123.0,25.69,187.4,104.0,15.93,255.4,93.0,11.49,5.3,3.0,1.43,1.0,408,0,0,0,1,0,0,0,0,0,0,1,0,1,0
91.0,23.0,97.0,39.51,186.0,88.0,15.81,190.5,128.0,8.57,12.3,3.0,3.32,3.0,510,0,1,0,0,0,0,0,0,0,0,1,0,0,1
92.0,31.0,116.0,29.29,266.2,91.0,22.63,228.2,90.0,10.27,11.8,5.0,3.19,1.0,415,0,0,0,1,0,0,0,0,0,0,1,0,0,1
120.0,0.0,85.0,25.6,119.0,128.0,10.12,232.9,123.0,10.48,6.4,2.0,1.73,1.0,415,1,0,0,0,0,0,0,0,0,0,1,0,1,0
72.0,0.0,133.0,24.02,134.9,96.0,11.47,200.87398513436247,97.0,10.24,11.2,3.0,3.02,2.0,510,0,0,0,0,0,0,1,0,0,0,1,0,1,0
43.0,0.0,105.0,42.76,212.8,104.0,18.09,157.8,67.0,7.1,9.3,4.0,2.51,0.0,415,0,0,0,1,0,0,0,0,0,0,0,1,1,0
125.0,0.0,89.0,36.09,215.4,127.0,18.31,186.8,73.0,8.41,11.3,2.0,3.05,2.0,408,0,0,0,0,0,0,0,1,0,0,1,0,1,0
121.0,0.0,142.0,30.12,123.5,88.0,10.5,213.2,51.0,9.59,8.4,6.0,2.27,1.0,510,0,0,0,0,0,0,0,1,0,0,1,0,1,0
39.0,36.0,121.0,24.09,232.3,113.0,19.75,222.1,131.0,9.99,12.0,5.0,3.24,1.0,415,1,0,0,0,0,0,0,0,0,0,1,0,0,1
148.0,0.0,148.0,26.11,262.1,87.0,22.28,225.5,99.0,10.15,9.8,3.0,2.65,2.0,408,0,0,0,1,0,0,0,0,0,0,1,0,1,0
119.0,0.0,82.0,39.36,266.9,97.0,22.69,211.0,118.0,9.49,7.4,10.0,2.0,1.0,415,0,0,0,0,0,0,0,0,1,0,1,0,1,0
75.0,37.0,97.0,20.66,271.4,110.0,23.07,200.87398513436247,97.0,11.19,11.3,5.0,3.05,2.0,510,0,0,0,1,0,0,0,0,0,0,1,0,0,1
78.0,0.0,105.0,18.62,286.1,90.0,24.32,247.6,113.0,11.14,4.9,9.0,1.32,1.0,415,0,0,0,0,0,0,0,1,0,0,1,0,1,0
70.0,24.0,101.0,42.42,259.7,98.0,22.07,222.7,68.0,10.02,9.8,4.0,2.65,1.0,415,0,0,0,0,0,0,0,1,0,0,1,0,0,1
64.0,27.0,91.0,30.96,169.7,98.0,14.42,164.7,86.0,7.41,10.6,5.0,2.86,2.0,408,0,0,0,0,1,0,0,0,0,0,1,0,0,1
36.0,0.0,115.0,34.41,230.7,115.0,19.61,202.0,127.0,9.09,10.2,2.0,2.7719679849340864,3.0,415,0,0,0,0,0,0,0,0,1,0,1,0,1,0
67.0,41.0,86.0,29.7,160.6,93.0,13.65,200.87398513436247,108.0,6.99,13.4,1.0,2.7719679849340864,0.0,415,0,0,0,0,0,0,0,0,1,0,1,0,0,1
166.0,0.0,93.0,33.93,214.3,99.0,18.22,196.8,110.0,8.86,7.2,5.0,1.94,3.0,510,0,0,0,0,0,0,1,0,0,0,1,0,1,0
84.0,0.0,96.0,12.8,179.9,113.0,15.29,200.87398513436247,134.0,8.72,12.3,1.0,3.32,1.0,510,0,1,0,0,0,0,0,0,0,0,1,0,1,0
51.0,0.0,109.0,39.51,187.4,95.0,15.93,200.87398513436247,107.0,10.4,9.1,3.0,2.46,1.0,408,0,0,0,0,0,0,1,0,0,0,1,0,1,0
163.0,23.0,104.0,27.2,189.4,64.0,16.1,200.87398513436247,118.0,10.35,10.4,7.0,2.81,1.0,510,0,0,0,1,0,0,0,0,0,0,1,0,0,1
102.0,0.0,116.0,33.27,209.1,87.0,17.77,201.1,73.0,9.05,8.3,3.0,2.24,1.0,510,0,0,0,0,1,0,0,0,0,0,1,0,1,0
107.0,30.0,87.0,33.81,207.0,90.0,17.6,159.8,76.0,7.19,12.6,4.0,3.4,3.0,510,0,1,0,0,0,0,0,0,0,0,1,0,0,1
189.0,30.0,116.0,26.38,195.5,50.0,16.62,170.1,108.0,7.65,15.4,6.0,4.16,1.0,415,0,0,0,0,0,0,0,1,0,0,1,0,0,1
89.0,0.0,83.0,32.66,163.6,88.0,13.91,169.7,138.0,7.64,6.1,3.0,1.65,0.0,408,0,1,0,0,0,0,0,0,0,0,1,0,1,0
56.0,0.0,79.0,25.65,161.8,87.0,13.75,200.87398513436247,115.0,7.55,11.7,5.0,3.16,3.0,510,0,0,0,1,0,0,0,0,0,0,1,0,1,0
73.0,0.0,90.0,36.41,196.8,78.0,16.73,157.9,112.0,7.11,5.9,8.0,1.59,0.0,415,1,0,0,0,0,0,0,0,0,0,1,0,1,0
137.0,0.0,107.0,21.59,323.2,75.0,27.47,200.87398513436247,127.0,6.48,7.5,2.0,2.03,1.0,415,0,0,0,1,0,0,0,0,0,0,1,0,1,0
12.0,0.0,118.0,42.43,252.4,119.0,21.45,200.87398513436247,90.0,12.61,11.8,3.0,3.19,1.0,408,0,0,0,1,0,0,0,0,0,0,1,0,1,0
117.0,0.0,121.0,33.73,249.5,104.0,21.21,162.8,115.0,7.33,10.5,5.0,2.84,1.0,510,0,0,0,0,0,0,0,1,0,0,0,1,1,0
153.0,0.0,107.0,33.22,154.6,96.0,13.14,142.8,97.0,6.43,11.6,6.0,3.13,1.0,510,0,0,0,0,0,0,0,1,0,0,1,0,1,0
55.0,20.0,91.0,35.31,199.7,113.0,16.97,216.5,110.0,9.74,7.3,1.0,1.97,1.0,415,1,0,0,0,0,0,0,0,0,0,1,0,0,1
125.0,0.0,82.0,40.92,269.4,85.0,22.9,187.1,74.0,8.42,10.1,3.0,2.73,0.0,415,0,0,0,0,0,0,0,0,1,0,1,0,1,0
121.0,41.0,95.0,36.64,241.8,92.0,20.55,147.0,108.0,6.61,9.6,3.0,2.59,1.0,415,0,0,0,1,0,0,0,0,0,0,1,0,0,1
195.0,36.0,110.0,39.39,225.1,88.0,19.13,201.7,89.0,9.08,12.1,2.0,3.27,0.0,415,0,0,0,0,1,0,0,0,0,0,1,0,0,1
94.0,38.0,124.0,28.92,193.3,116.0,16.43,200.87398513436247,73.0,4.77,12.8,4.0,3.46,1.0,408,0,0,0,1,0,0,0,0,0,0,1,0,0,1
70.0,0.0,95.0,39.58,303.4,111.0,25.79,200.87398513436247,104.0,11.5,12.9,7.0,3.48,0.0,415,0,0,0,0,0,0,0,0,0,1,1,0,1,0
107.0,14.0,132.0,19.43,199.8,91.0,16.98,194.7,74.0,8.76,7.5,8.0,2.03,1.0,415,1,0,0,0,0,0,0,0,0,0,1,0,0,1
123.0,39.0,99.0,45.97,245.1,110.0,20.83,200.87398513436247,113.0,4.9,15.4,7.0,4.16,1.0,408,1,0,0,0,0,0,0,0,0,0,1,0,0,1
118.0,0.0,113.0,22.68,121.0,92.0,10.29,254.7,129.0,11.46,5.9,4.0,1.59,1.0,415,0,0,0,0,0,0,1,0,0,0,1,0,1,0
184.0,12.0,76.0,34.05,253.6,105.0,21.56,200.87398513436247,93.0,6.72,10.2,5.0,2.75,0.0,408,1,0,0,0,0,0,0,0,0,0,1,0,0,1
119.0,0.0,88.0,40.65,243.5,79.0,20.7,230.9,92.0,10.39,10.9,3.0,2.94,3.0,408,0,0,0,0,0,0,0,1,0,0,1,0,1,0
119.0,0.0,97.0,16.8,146.9,68.0,12.49,190.7,105.0,8.58,10.0,4.0,2.7,3.0,415,0,1,0,0,0,0,0,0,0,0,1,0,1,0
52.0,0.0,131.0,21.23,300.5,118.0,25.54,192.5,106.0,8.66,11.6,4.0,3.13,2.0,415,0,0,0,0,0,0,0,0,0,1,1,0,1,0
103.0,0.0,84.0,28.32,192.4,91.0,16.35,200.87398513436247,115.0,7.56,7.7,6.0,2.08,1.0,510,0,0,0,0,0,0,0,1,0,0,1,0,1,0
160.0,0.0,113.0,16.58,268.1,69.0,22.79,255.3,62.0,11.49,13.2,4.0,3.56,3.0,415,0,0,0,1,0,0,0,0,0,0,1,0,1,0
111.0,0.0,75.0,24.19,122.8,106.0,10.44,229.5,94.0,10.33,12.8,9.0,3.46,2.0,408,0,0,0,1,0,0,0,0,0,0,1,0,1,0
108.0,15.0,85.0,28.07,267.0,93.0,22.7,200.87398513436247,114.0,11.28,10.9,4.0,2.7719679849340864,1.0,408,0,1,0,0,0,0,0,0,0,0,1,0,0,1
74.0,0.0,124.0,37.59,110.8,94.0,9.42,240.1,112.0,10.8,10.6,3.0,2.7719679849340864,0.0,415,0,0,0,1,0,0,0,0,0,0,1,0,1,0
180.0,0.0,105.0,38.23,250.0,101.0,21.25,216.1,73.0,9.72,6.7,5.0,1.81,3.0,415,0,0,0,0,0,0,0,0,1,0,1,0,1,0
78.0,25.0,73.0,33.56,295.7,113.0,25.13,211.7,73.0,9.53,13.2,2.0,3.56,0.0,415,0,0,0,0,0,0,0,0,1,0,1,0,0,1
160.0,0.0,66.0,35.07,241.1,109.0,20.49,227.8,102.0,10.25,11.7,6.0,3.16,0.0,415,1,0,0,0,0,0,0,0,0,0,1,0,1,0
43.0,35.0,105.0,34.03,244.4,88.0,20.77,207.2,97.0,9.32,11.6,4.0,2.7719679849340864,3.0,408,0,0,0,0,0,0,0,1,0,0,1,0,0,1
63.0,0.0,122.0,22.59,67.0,62.0,5.7,200.87398513436247,121.0,7.22,9.9,2.0,2.67,3.0,510,0,0,0,0,0,0,0,1,0,0,1,0,1,0
130.0,0.0,119.0,26.21,110.2,98.0,9.37,200.87398513436247,117.0,10.23,9.2,5.0,2.48,2.0,510,0,0,0,1,0,0,0,0,0,0,1,0,1,0
128.0,0.0,105.0,25.25,243.0,106.0,20.66,255.2,114.0,11.48,6.8,2.0,1.84,1.0,415,0,0,0,0,0,0,0,0,0,1,1,0,1,0
21.0,0.0,81.0,41.6,168.0,117.0,14.28,200.87398513436247,87.0,12.67,6.6,1.0,1.78,1.0,415,0,0,1,0,0,0,0,0,0,0,1,0,1,0
148.0,26.0,91.0,26.98,160.5,127.0,13.64,218.3,88.0,9.82,9.9,3.0,2.67,1.0,415,1,0,0,0,0,0,0,0,0,0,1,0,0,1
174.0,0.0,72.0,40.66,188.5,124.0,16.02,200.87398513436247,116.0,4.75,8.8,3.0,2.38,1.0,415,0,0,0,1,0,0,0,0,0,0,1,0,1,0
98.0,0.0,121.0,36.92,303.4,73.0,25.79,197.1,71.0,8.87,12.4,2.0,3.35,0.0,415,0,0,0,0,0,0,0,0,0,1,1,0,1,0
87.0,0.0,119.0,31.59,192.3,83.0,16.35,200.0,96.0,9.0,6.6,4.0,1.78,1.0,408,0,0,0,0,0,0,0,0,0,1,1,0,1,0
118.0,0.0,122.0,43.04,201.0,78.0,17.09,195.3,108.0,8.79,9.7,7.0,2.7719679849340864,2.0,415,0,0,0,0,0,0,1,0,0,0,1,0,1,0
58.0,0.0,145.0,25.4,196.5,105.0,16.7,209.5,108.0,9.43,14.9,3.0,4.02,1.0,415,0,0,0,0,0,0,0,0,1,0,1,0,1,0
78.0,0.0,119.0,25.45,182.2,115.0,15.49,261.5,126.0,11.77,9.7,8.0,2.62,0.0,415,0,1,0,0,0,0,0,0,0,0,1,0,1,0
102.0,31.0,92.0,21.3,141.2,108.0,12.0,200.87398513436247,68.0,7.57,6.3,2.0,1.7,3.0,415,0,0,0,0,1,0,0,0,0,0,1,0,0,1
132.0,0.0,104.0,49.5,234.2,132.0,19.91,191.7,87.0,8.63,8.9,3.0,2.4,1.0,408,1,0,0,0,0,0,0,0,0,0,1,0,1,0
130.0,0.0,129.0,19.65,167.8,104.0,14.26,200.87398513436247,124.0,6.38,12.6,9.0,3.4,1.0,408,1,0,0,0,0,0,0,0,0,0,1,0,1,0
120.0,0.0,131.0,36.06,209.4,104.0,17.8,167.2,96.0,7.52,5.3,5.0,1.43,1.0,408,0,1,0,0,0,0,0,0,0,0,1,0,1,0
92.0,0.0,90.0,15.59,193.7,123.0,16.46,175.0,86.0,7.88,9.2,4.0,2.48,2.0,408,0,0,0,0,0,0,0,0,0,1,1,0,1,0
110.0,0.0,112.0,25.47,180.0,93.0,15.3,140.0,119.0,6.3,11.7,4.0,3.16,2.0,408,0,0,0,0,0,0,1,0,0,0,1,0,1,0
139.0,0.0,109.0,40.22,169.9,107.0,14.44,212.3,118.0,9.55,11.1,2.0,3.0,1.0,510,0,0,1,0,0,0,0,0,0,0,1,0,1,0
130.0,0.0,113.0,27.68,290.3,111.0,24.68,200.87398513436247,140.0,5.17,7.2,3.0,1.94,1.0,415,0,0,0,0,0,0,0,1,0,0,1,0,1,0
95.0,20.0,78.0,28.17,215.6,94.0,18.33,243.3,91.0,10.95,9.8,6.0,2.65,0.0,408,0,0,0,0,0,0,0,0,1,0,1,0,0,1
78.0,0.0,116.0,27.59,192.4,86.0,16.35,240.6,100.0,10.83,10.1,3.0,2.73,2.0,408,0,0,0,0,1,0,0,0,0,0,1,0,1,0
74.0,0.0,77.0,34.65,205.1,111.0,17.43,154.9,109.0,6.97,9.0,2.0,2.43,1.0,510,0,0,0,0,1,0,0,0,0,0,1,0,1,0
101.0,0.0,107.0,35.63,228.8,96.0,19.45,172.4,85.0,7.76,7.6,2.0,2.7719679849340864,3.0,408,0,0,0,0,0,0,0,0,0,1,1,0,1,0
88.0,0.0,86.0,34.37,216.8,93.0,18.43,239.4,99.0,10.77,11.8,2.0,3.19,2.0,415,0,0,0,0,1,0,0,0,0,0,1,0,1,0
82.0,0.0,96.0,21.37,207.6,137.0,17.65,183.1,103.0,8.24,12.9,2.0,3.48,1.0,408,0,0,1,0,0,0,0,0,0,0,1,0,1,0
29.0,0.0,71.0,33.25,126.4,74.0,10.74,200.87398513436247,87.0,6.69,14.2,4.0,2.7719679849340864,1.0,510,0,0,0,0,0,0,0,1,0,0,1,0,1,0
84.0,38.0,106.0,32.81,153.6,106.0,13.06,260.4,87.0,11.72,7.4,5.0,2.0,2.0,408,0,0,0,0,0,0,0,0,1,0,1,0,0,1
88.0,0.0,107.0,24.17,262.4,84.0,22.3,200.87398513436247,99.0,6.26,10.1,5.0,2.73,1.0,408,0,0,0,0,0,0,0,0,1,0,1,0,1,0
131.0,0.0,80.0,16.05,215.1,101.0,18.28,179.7,108.0,8.09,13.1,9.0,3.54,2.0,408,0,0,0,0,0,0,0,1,0,0,1,0,1,0
132.0,0.0,100.0,33.17,148.8,95.0,12.65,200.87398513436247,117.0,10.1,6.7,2.0,1.81,0.0,408,0,0,0,1,0,0,0,0,0,0,1,0,1,0
79.0,0.0,83.0,30.24,167.3,84.0,14.22,223.7,142.0,10.07,15.2,8.0,4.1,0.0,415,0,0,0,0,0,0,0,0,1,0,1,0,1,0
163.0,0.0,120.0,37.91,227.0,98.0,19.3,188.3,125.0,8.47,8.8,5.0,2.38,1.0,408,0,0,0,0,0,0,0,1,0,0,1,0,1,0
95.0,0.0,96.0,34.58,168.6,61.0,14.33,173.0,105.0,7.79,13.7,3.0,3.7,2.0,510,0,0,0,0,1,0,0,0,0,0,1,0,1,0
